url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/0f2b57980a807bb8bd69f3b6073a8f601920464a,Cankerweed,Silvery yarrow,Dense-spike blackroot,White hawkweed,nabalus-serpentarius
https://bs.plantnet.org/image/o/dfc229bbcf0a58414936bac72575493b80b05b43,Hairy leafcup,Rose rush,Gray-leaf euryops,Coastal plain yellowtops,smallanthus-uvedalia
https://bs.plantnet.org/image/o/ed5bfc78c65ce97e172519f2c7de454c209f8409,Nippon daisy,Smallray goldfields,Weather prophet,Orcutt's aster,nipponanthemum-nipponicum
https://bs.plantnet.org/image/o/baaf57f4a506cff3cfbdafb3146dd77b5cdd99f7,White artichoke,Tree seaside tansy,Leopard's-bane groundsel,Stiff sunflower,cynara-cornigera
https://bs.plantnet.org/image/o/1d0487c642405900d57d7c59fed5e6cb4b0dca86,Prairie blazing star,Spotted goldenthistle,Edible star-hawkbit,Mesa tansyaster,liatris-pycnostachya
https://bs.plantnet.org/image/o/c397b521f8422451594e5dd32b81add006319dd7,Silver milk thistle,Mule-fat,Medicine daisy,Canary creeper,silybum-eburneum
https://bs.plantnet.org/image/o/9ac127ce0cb4ec2bd2160c2d3994a2f3a119e4b0,Huisache daisy,Irish-lace,Many-stem rabbit-tobacco,Siskiyou hawk's-beard,amblyolepis-setigera
https://bs.plantnet.org/image/o/160175038f651217d7c6655449eaf2eb7890c120,Potato dwarfdandelion,Small wirelettuce,Tanseyleaf tansyaster,Stemless four-nerve daisy,krigia-dandelion
https://bs.plantnet.org/image/o/c8fd52b0063dd45a34a97c69d1ba511fe007a6ff,Florida ironweed,Dunce-nettle,Pyrenean aster,Roundleaf goldenrod,vernonia-blodgettii
https://bs.plantnet.org/image/o/f1a5d003a3de24028ad55e27e387ddc794384e4f,Appalachian blazing star,Tumble knapweed,Marlborough daisy,California ragwort,liatris-squarrulosa
https://bs.plantnet.org/image/o/5e84c4ff59169cc7dbd1196a223793959230c170,Pasture goatsbeard,Bushy seaside tansy,Roughstem rosinweed,Bur ragweed,geropogon-hybridus
https://bs.plantnet.org/image/o/088246007d57db00d0f436fb09700c3ccbe27975,Daisy bush,Swamp sunflower,Clavel de muerto,White rocklettuce,brachyglottis-greyi
https://bs.plantnet.org/image/o/4134714b652b394c55b4bb3fbba401bf953fe34d,Big tarweed,Pygmy cudweed,Stemless townsend daisy,Tall blue lettuce,blepharizonia-plumosa
https://bs.plantnet.org/image/o/4d2dcfb65ef9548f3269a3296154a97b6d938934,Yellow crownbeard,Marsh dandelion,Thin-leafed darwin's shrub,Fall tansyaster,verbesina-occidentalis
https://bs.plantnet.org/image/o/a329d2c8b78e6a1d6eeb42aedbda47b7db176601,Roundleaf goldenrod,Weather prophet,Hyssopleaf thoroughwort,Small-leaf squarestem,solidago-patula
https://bs.plantnet.org/image/o/103e4f5257fec080fca5d9f60a09712b8e12c276,Ohio goldenrod,Cut-leaved dandelion,Puffballs,Flodman's thistle,solidago-ohioensis
https://bs.plantnet.org/image/o/9e06fc69081df2451e42505602273f2b115f4c16,Cottonbatting plant,San francisco lessingia,Hairy arnica,Short woollyheads,pseudognaphalium-stramineum
https://bs.plantnet.org/image/o/f739aed64ce1cd6534703b9b1fc9ca72d285ff89,Eye of christ,Field thistle,Cushion townsend daisy,Blue thistle,pentanema-oculus-christi
https://bs.plantnet.org/image/o/12663725a23bcf4970e3581d8875943419c926d6,Blue chalksticks,Wooton's ragwort,Scaly blazing star,Shortleaf blazing star,curio-repens
https://bs.plantnet.org/image/o/62cdd474b6df29f4b49311b380da2f7acbbd3d63,Crum's monolopia,Tree seaside tansy,Sawtooth candyleaf,Cineraria,monolopia-stricta
https://bs.plantnet.org/image/o/a86d88490033778fee6a677d98f7b4b64cec2b40,Umbrella milkwort,Arctic sweet coltsfoot,Chamomile,Common yarrow,tolpis-umbellata
https://bs.plantnet.org/image/o/e4925f442d26f1384164cf7e72b4939c7371b576,Aspen fleabane,Holy-flax,Little pickles,Alpine fleabane,erigeron-speciosus
https://bs.floristic.org/image/o/39440dd903764f20328336128e5a86362dc59f75,Schwarzrandige schafgarbe,Snow squarestem,Cup plant,Whitedaisy tidytips,achillea-atrata
https://bs.plantnet.org/image/o/5653c44a9b9d85574643ba735060101987221f08,Snowy sunflower,Blanket bush,Pygmy hawksbeard,Austrian chamomile,pappobolus-subniveus
https://bs.plantnet.org/image/o/04b56f8035ab08e639999b69ea31881e04b3e6cc,Eastern leopard's-bane,Shrubby sow-thistle,Elmleaf goldenrod,Hairyseed bahia,doronicum-columnae
https://bs.plantnet.org/image/o/374664125d921d0e9b73e87a597df8d35b52715f,Central australian daisy-bush,Garden coreopsis,Threenerve goldenrod,Rice button aster,olearia-ferresii
https://bs.plantnet.org/image/o/9c0aff0295bf8516566d142788ad9338e53e734c,Prickly hawkweed,Mono ragwort,Cushion townsend daisy,Yarrow,pilosella-horrida
https://bs.plantnet.org/image/o/5309279859d416144f59963c66228284e061270f,Oregon whitetop aster,Tragacanth-leaved thistle,Syrian thistle,Queendevil,sericocarpus-oregonensis
https://bs.plantnet.org/image/o/39db4e8edc8a2f2d6bc74513926c1b7a113123ac,Blessed thistle,Oil neststraw,Tree marigold,Elliott's goldenrod,centaurea-benedicta
https://bs.plantnet.org/image/o/35cd21c5bd78c57e72416915f26920c9423ac53c,Mohr's rosinweed,Arrowleaf balsamroot,Cretian mat daisy,Wreath goldenrod,silphium-mohrii
