url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/bd32f146b43601b3a7a0ff80a21fa24ba0c96d81,Snowy orchid,Wavy st. john's-wort,Sagebrush,Florida hopbush,platanthera-nivea
https://bs.plantnet.org/image/o/6358dca62d7c66d29ab36379691a89979838b59a,Purging croton,Bauhinia,Lowland yellow loosestrife,Field cow-wheat,croton-laevigatus
https://bs.plantnet.org/image/o/fa5f8432638d036805ef6c6baa11a8c8080e3ece,Reflexed stonecrop,Calistoga pincushionplant,Upright yellow-flax,Puffsheath dropseed,petrosedum-rupestre
https://bs.plantnet.org/image/o/65d5ed7d6532785638ebed22c00ffa8fd316fa77,Falling-stars,Birdfoot checkerbloom,Barbados lily,White sedge,campanula-isophylla
https://bs.plantnet.org/image/o/485fcca8c8f776263ae0af3339243eb02aecbd37,Cobweb house-leek,Bulblet bladderfern,Rusty-back,Paperbark corkwood,sempervivum-arachnoideum
https://bs.plantnet.org/image/o/fa779a5a7f9107a53248abf597717e28c5f2ad09,Mediterranean poppy,Mother of thousands,Sickleweed,Holly osmanthus,papaver-pinnatifidum
https://bs.plantnet.org/image/o/9c92a1362635997119734b3dc6fa96584144e3ff,Starflower pincushions,Poplar-leaved cistus,Chinese incense-cedar,Broadleaf oleaster,lomelosia-stellata
https://bs.plantnet.org/image/o/4a9ae22965fc6806565a533a39a0ee70145e0d6e,Small horned pleurothalis,Woolly bluecurls,Cypressvine,Greater dodder,specklinia-corniculata
https://bs.plantnet.org/image/o/ca2936a74f50cb46057d8a3254e2d06265d19924,California saxifrage,King of the meadow,Grassleaf spurge,Creeping vellozia,micranthes-californica
https://bs.plantnet.org/image/o/5c735dd181fb91ef262494adebcd79e7bcdc2c90,Vegetable hummingbird,ravenfoot sedge,Pale madwort,Aloe yucca,sesbania-grandiflora
https://bs.plantnet.org/image/o/eb41f6c2813f54d4b7c4ce0356094fcefb0edaea,Rough mexican clover,Bull mallow,White goldenrod,Hooker's townsend daisy,richardia-scabra
https://bs.floristic.org/image/o/840d648344687f9e9d53faf4fb0153b250a10686,Caucasian fir,Eastern prickly gooseberry,Cream pincushions,Heath lobelia,abies-nordmanniana
https://bs.plantnet.org/image/o/73942347431104e095a02cda2edcbead4f6f168c,Western white clematis,Magic-flower,Lantern tree,Silver cock's comb,clematis-ligusticifolia
https://bs.plantnet.org/image/o/1a2753b5607278c0719a693bd3533221b1d37304,Ferris' goldfields,Early sandgrass,Creeping inchplant,Large bullwort,lasthenia-ferrisiae
https://bs.plantnet.org/image/o/04d567a6c141faa6a58f07729c20628ed430bed6,Plateau rocktrumpet,Oakleaf garden geranium,Copper globemallow,American black currant,mandevilla-macrosiphon
https://bs.floristic.org/image/o/2b0f83dab86b090238e2462dff5d14da56822642,Hairy indian mallow,Red passionflower,Negrohead,Early virgin's-bower,abutilon-grandifolium
https://bs.plantnet.org/image/o/cf398b50b648e7f9802f793257726c8571cfd438,Mesa tansyaster,Forest bedstraw,Many-stem false-thorn,Sargent's cherry,machaeranthera-tagetina
https://bs.plantnet.org/image/o/603a2a9006c42e0fd65ea56c5b8670b805a6750e,Pennsylvania cinquefoil,Hiddenflower phacelia,Cheeseweed mallow,Ming aralia,potentilla-pensylvanica
https://bs.plantnet.org/image/o/a0b1e5172e2b655c2b252ddfefa210e1df2dd34f,Felwort,Thimbleberry,Ridgetop naupaka,Honewort,swertia-perennis
https://bs.plantnet.org/image/o/7746aa907a59f94eb0a99f00456aa3b1980942d0,White cottongrass,Coastal plain yellowtops,Elephanthead lousewort,Asthmaplant,eriophorum-scheuchzeri
https://bs.plantnet.org/image/o/62a58003e2a699a998bf62e28292f17fcc63b308,Ditch stonecrop,Ballast toadflax,Broadleaf forget-me-not,Machete,penthorum-sedoides
https://bs.plantnet.org/image/o/aab3f1f76b268816bf5e21156286e9e85ca1a5a8,Pink pavonia,Chinese juniper,Himalayan clematis,Water dead and awake,pavonia-columella
https://bs.plantnet.org/image/o/0b5d4c52d995d52d930e6bd26264ead00d471796,Roman nettle,Stemless townsend daisy,Stavesacre,Stryphnodendron,urtica-pilulifera
https://bs.plantnet.org/image/o/51e9e5b3dbc524f256457c31609c8e2b4a9fada4,Butterfly-bush,Square-fruited ironbark,Greenstem forsythia,Mandrake,rotheca-myricoides
https://bs.plantnet.org/image/o/e72680465708f554dc5669d8ce05ec25f06f9334,Salmon correa,Climbing-hydrangea,Hairy phlox,Nodding beardtongue,correa-pulchella
https://storage.googleapis.com/powop-assets/PPA/2076_2100/h2096c_fullsize.jpg,Capitate galingale,Shellflower,Cous biscuitroot,Longspur seablush,cyperus-dubius
https://bs.plantnet.org/image/o/6107b86638eea3570777fb3c7a666e036164b568,Glademallow,Chinese peony,Wedgeleaf,Doll's head,napaea-dioica
https://bs.plantnet.org/image/o/02d73397171474db13b116f419e37a50d17faab8,Purple sage,Maidenhair creeper,Sweetwood,Fuchsiaflower gooseberry,salvia-dorrii
https://bs.plantnet.org/image/o/0f951952a85218983aadd276968c513c76f8af96,Yellow pitcherplant,Spoonleaf peperomia,Carolina bugbane,Hippo grass,sarracenia-flava
https://bs.plantnet.org/image/o/bdec32966dda9e33c87a3af1693c4bab95dd6075,Limber pine,Stemless four-nerve daisy,Chinese windmill palm,Narrowleaf silkgrass,pinus-flexilis
https://bs.plantnet.org/image/o/9a3022c174ceac49994b35de20632f6ca0078262,Mountain-grape,Scribner's grass,Hairy chervil,Pulse milk-vetch,berberis-aquifolium
https://bs.plantnet.org/image/o/eefca2d417982963ff809d16d7c56081c96e06c4,Scouringrush horsetail,Chameleon,Cut-leaved dandelion,Spreading pygmyleaf,equisetum-hyemale
https://bs.plantnet.org/image/o/37413feaf7714cf464f064732b53d82fc67ecab8,Kidney saxifrage,Spring cinquefoil,Green false hellebore,Pink mock vervain,saxifraga-hirsuta
https://bs.plantnet.org/image/o/4ec4af0c52fa5042a995094af5796ed656d8231d,Elephanthead lousewort,Southern bird's-foot trefoil,Lesser rattlesnake plantain,Coulter's lupine,pedicularis-groenlandica
https://bs.plantnet.org/image/o/d1a976314d290d3ae632187d413ac56b8ca5c639,Mexican brassbuttons,Parry pinyon,Smooth lady's mantle,Common globe amaranth,soliva-mexicana
https://bs.plantnet.org/image/o/09e5963c3ca11218a1e7ef67eb07c17888c1da78,Rock tanninbush,Ua de gato,Common yarrow,Sheathed sedge,osyris-lanceolata
https://bs.plantnet.org/image/o/67ec37f0fe0f16f14b8801da8988d15eac747325,Whorled mountainmint,Statice,Ohio buckeye,Carolina-allspice,pycnanthemum-verticillatum
