url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/9389ac24c8d9e6c33660ee7b12b3a20f75e54ccf,Marsh hedgenettle,Smooth chastetree,Philippine glorybower,American water horehound,stachys-palustris
https://bs.plantnet.org/image/o/6d6e4508351df724030893242a89a8ab8e6a0808,Tropical bushmint,Obedient plant,Wild basil,Lemon beebalm,cantinoa-mutabilis
https://bs.plantnet.org/image/o/925fe765fda059c5474273f2a2a842ad44f8a73b,Rose sage,Java glory-bean,Christmas candlestick,White birds-in-a-nest,salvia-eremostachya
https://bs.plantnet.org/image/o/8c8cd8c6856280c6c1b2c0973c6b3bf752cf8602,Snowy mintbush,Mintbush,False elder,French lavender,prostanthera-nivea
https://bs.plantnet.org/image/o/449fef4f1be486a68fe4d3ba5e62ae904df72e36,Peach sage,Correll's false dragonhead,Woodbalm,Yellow archangel,salvia-dorisiana
https://bs.plantnet.org/image/o/1a52731e381fb8919d02a4e676da8204ad7953d7,Italian hedgenettle,Baby sage,Dragonmouth,Jerusalem salvia,stachys-ocymastrum
https://bs.plantnet.org/image/o/a97223b33f884363beedc825b432e74ddc416e54,Purple giant-hyssop,South american skullcap,California hedgenettle,Rio grande skullcap,agastache-scrophulariifolia
https://bs.plantnet.org/image/o/2feefd7366af156f6c130d475d0df4c16b3d8bea,Nose skullcap,White thyme,Nettleleaf sage,Azure blue sage,scutellaria-antirrhinoides
https://bs.plantnet.org/image/o/46f88e1e7001734940d8e755db41a4b5d133cb27,Siskiyou bluecurls,Whitewort,Purple sage,Hart's pennyroyal,trichostema-simulatum
https://bs.plantnet.org/image/o/5309d46dc000c78737400b454eec3b48dfd0e00c,Greek oregano,Butterfly-bush,Downy mintbush,Mastic thyme,salvia-fruticosa
https://bs.plantnet.org/image/o/db2e397baef1c6ec2f4ff4650777501a4f685c16,Drakblomma,Water germander,False elder,Blue sage,dracocephalum-ruyschiana
https://bs.plantnet.org/image/o/d36f34488d0e68b725faf185f8ad301dffadc8be,American basil,Vinegarweed,Shore westringia,Spotted beebalm,ocimum-americanum
https://bs.plantnet.org/image/o/b5322a798fdbfb1a24d51bead959b4a65c2ec938,Balm-leaved archangel,American water horehound,Europe sage,Yellow archangel,lamium-orvala
https://bs.plantnet.org/image/o/e2057deb95faedd093acfd943fa007bd675ba59f,Monkeyflower savory,Alpine basil thyme,Marsh skullcap,Least basil,clinopodium-mimuloides
https://bs.plantnet.org/image/o/d50bf42e423fc64bc86c95dce1d4fc16370532c0,Drummond's skullcap,Cutleaf germander,Whitespot,Annual hedgenettle,scutellaria-drummondii
https://bs.plantnet.org/image/o/c8c8eb95d94d04d027d37be3ec33867f2aff529f,Ozark calamint,Chinese chastetree,Common motherwort,Greater calamint,clinopodium-glabellum
https://bs.plantnet.org/image/o/a5b9f297e111b150a4e7a7e29d9bbb8eebc6c0f0,Wild basil,Northern bugleweed,Drummond's hedgenettle,Ironwort,clinopodium-vulgare
https://bs.plantnet.org/image/o/2980d1528a8c7a321cccc40aed0355a9a8c32365,Lemon thyme,Baby sage,Poley,Scarlet beebalm,thymus-x-citriodorus
https://bs.plantnet.org/image/o/95e9c5eb2325e116b688e639a03784c8109679e0,Sticky sage,Siberian motherwort,Coleus,Siskiyou bluecurls,salvia-glutinosa
https://bs.plantnet.org/image/o/1433932603603fe07dc4c812b1bfb722bfea480d,Beefsteakplant,Santa ana pitchersage,Marsh hedgenettle,Holy basil,perilla-frutescens
https://bs.plantnet.org/image/o/443e7fcb9ae1a3c302def5167f175d6a1c75eb47,Forest mint,Cockspur-flower,Spotted beebalm,Chinese chastetree,mentha-laxiflora
https://bs.plantnet.org/image/o/ce795ddb0431e13fcb57c02828b2037186b3b79b,Cretan dittany,Texas sandmint,Cut-leaf mintbush,Clustered mountainmint,origanum-dictamnus
https://bs.plantnet.org/image/o/5bff9c83cc5a1a965e9ad1c8a1f0915e6ae3d176,Woodland sage,Correll's false dragonhead,Mountain-lilac,Coastal hedgenettle,salvia-nemorosa
https://bs.plantnet.org/image/o/e2057deb95faedd093acfd943fa007bd675ba59f,Monkeyflower savory,Lanceleaf sage,Purple giant-hyssop,Chia,clinopodium-mimuloides
https://bs.plantnet.org/image/o/2721d052cb9a6505569581c9eb0bd62a4bc711c0,Silver sage,Taperleaf water horehound,Mexican bush sage,Lyreleaf sage,salvia-candidissima-subsp-candidissima
https://bs.plantnet.org/image/o/63db4a814962e8bd68cec5a1233ae7a8c24383dd,Least basil,San diego pitchersage,Baby sage,Blue giant hyssop,ocimum-campechianum
https://bs.plantnet.org/image/o/95eba5fc46d2e9492b53d1827693e3e6bed1f8f2,Sierra monardella,Blue skullcap,Rose glorybower,American basil,monardella-candicans
https://bs.plantnet.org/image/o/223b9eddd39a9d0e98694309e0bf4bc8d6086628,Shrubby blue sage,Jerusalem salvia,Ortela,Mediterranean sage,salvia-ballotiflora
https://bs.plantnet.org/image/o/40079937ada3f2c5447c8fb6d43668e88c65ce95,Lion's ear,San luis purple sage,Big-sage,Azure blue sage,leonotis-leonurus
https://bs.plantnet.org/image/o/569a8cbd825e123ad8d6bc3679e76887a1d33d4b,Lemon beebalm,White sage,White pine skullcap,Downy chancetree,monarda-citriodora
