url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/6d696a3c6be88c02fca915e1012380bb9af7fa25,Prostrate kowhai,Crown medick,Scarlet milkvetch,Casia amarilla,sophora-prostrata
https://bs.plantnet.org/image/o/3caa1c47915ef01f27e6c59685f0a39afb35716c,Keurboom,Formosan koa,Purple milk-vetch,Shaggy lupine,virgilia-oroboides
https://bs.floristic.org/image/o/b01cedaf2f0280da7320a1d2f95def83e64e6871,Umbrella thorn,Striated broom,Silk tree,Cutleaf medick,vachellia-tortilis
https://bs.plantnet.org/image/o/48934741da904d28f2018f6f97b67c6a4b9c4baa,Anil falso,Napoleon's plume,Purple tephrosia,Black gram,coursetia-caribaea
https://bs.plantnet.org/image/o/941273f8b13807803c0fdc0ebe9ff876ac147650,Prickly clover,Groundnut,Joint-vetch,Southern greenweed,trifolium-echinatum
https://bs.plantnet.org/image/o/81063ac267a71c74a75813911c0a8ad4b56e64cc,Purple vetch,Yellow necklacepod,Littleleaf leadtree,Plume albizia,astragalus-glaux
https://bs.plantnet.org/image/o/3752bd26b85ab28e7fa31520d77972107eb6c377,Coral gem,Basralocus,Strongback,Dotted lancepod,lotus-berthelotii
https://bs.plantnet.org/image/o/fdb0e068e91e635af0b97e218319ff731284ca96,Round-leaved restharrow,Pencilflower,Quickstick,African scurfpea,ononis-rotundifolia
https://bs.plantnet.org/image/o/cfd980ab5350a77fa563bcd77446f3d6ac1e9a1e,Sea clover,Erythrina,Rattlebox,Stinging annual lupine,trifolium-squamosum
https://bs.plantnet.org/image/o/497f238cd2b1536d1545838520a99df46a58a6e7,Roundhead lespedeza,Coyote,Purple prairie clover,Kudzu,lespedeza-capitata
https://bs.plantnet.org/image/o/106947b65f01d2cfdf3d4b1c1e421ade4a25ddfd,Fourleaf vetch,Stryphnodendron,Balsam of tolu,Bristly bush-pea,vicia-acutifolia
https://bs.plantnet.org/image/o/ff866804cf2dc39957e9ad53a93cac0601215052,Pride-of-burma,Pride of california,American scurfpea,Chinese redbud,amherstia-nobilis
https://bs.plantnet.org/image/o/4be2377dd6db28bee4c3843fd5b0ea25bd6cb642,Creta trefoil,Pale-flower vetch,Round-head clover,Silver mulga,lotus-creticus
https://bs.floristic.org/image/o/a4a2933556805f34c6a26641c101162c07666f33,Formosan koa,Dogwood,Gulf indian breadroot,Japanese yellowwood,acacia-confusa
https://bs.plantnet.org/image/o/3f7c1831b29f9a0314566e99d09b06a0d7deec8d,Parkia,Basralocus,Tanner's cassia,Prostrate kowhai,parkia-speciosa
https://bs.plantnet.org/image/o/bdfbde2f09e1a9da74389b3ad42563124dc3b2b9,Teasel clover,Rose clover,Grey-hair acacia,Bearded clover,trifolium-retusum
https://bs.plantnet.org/image/o/b1437af1a1d52c37732aca98d388aa8eb1dbb869,Oneflower clover,Nuttall's wild indigo,Zarzabacoa peluda,Purple vetch,trifolium-uniflorum
https://bs.plantnet.org/image/o/5c87c1e7ff6ef97695ad257d2c02bdce49cebfc6,Sonoran bean,Round-leaf cassia,Pyrenean vetch,Fewflower clover,phaseolus-pedicellatus
https://bs.plantnet.org/image/o/e4100d79ca2344b29f61f7ea64bebcef7a40afd2,Burdock clover,Mesquite,Bithynian vetch,American coral tree,trifolium-lappaceum
https://bs.plantnet.org/image/o/0ba6fd12f9f261326874e8249a196218905a067b,Yellow milk-vetch,Island broom,Acacia,Sweet acacia,astragalus-boeticus
https://bs.plantnet.org/image/o/40d465f41fe5750e517378e6cb138bf45bd99b34,Thorny broom,American coral tree,Depauperate milkvetch,Blister vetch,calicotome-spinosa
https://bs.plantnet.org/image/o/ce9fe8f92eb5272ea30878eefedf8ebfc29ee769,Depauperate milkvetch,Oneflower clover,Silky deerweed,Tall yellow sweetclover,astragalus-pauperculus
https://bs.plantnet.org/image/o/7b6b57ff807aeb1ab1299d25727948eaf4a7a031,Canary broom,Yellow milk-vetch,Golden chain tree,Scotch laburnum,genista-cinerea
https://bs.plantnet.org/image/o/65d675d9d7778819211132165808da1f63bbbcd0,Silk tree,Yellow bird's-foot,Stryphnodendron,Mt. etna broom,albizia-niopoides
https://bs.plantnet.org/image/o/aca83459de53343964d8c38f5786b998cd8ab396,Dwarf erythrina,Cultivated fenugreek,African senna,Yellow pea,erythrina-humeana
https://bs.plantnet.org/image/o/0f906e7e10a7702d743d75b69f6c5d51e09e9035,Texas bluebonnet,Oahu riverhemp,Marabou-thorn,Dwarf clover,lupinus-subcarnosus
https://bs.plantnet.org/image/o/1a9dd8c40311d0f818e7e3aa0e5a01b2cc66f574,Crown medick,Mountain kidney vetch,Lesser horseshoe vetch,Siberian peashrub,medicago-coronata
https://bs.plantnet.org/image/o/5f39dbcd949e42a3a30c5445314eebca20a22e1f,Fewflower clover,Mount cenis restharrow,Seashore lupine,Hairy lespedeza,trifolium-oliganthum
https://bs.plantnet.org/image/o/43253476c510cf7633531602c250f517ba9a7204,Cordyla,Large-flower hop clover,False indigo bush,Horseshoe-vetch,cordyla-africana
https://bs.floristic.org/image/o/4c196e258667d082f9e33537d750ccb514526eb3,Wyrilda,Humboldt county milkvetch,Plume albizia,Knotted clover,acacia-confluens
