url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/78292af7120e8c511e599859755ab064c1be049a,African cornflag,Garland spiraea,Bougainvillea,Yellow pea,chasmanthe-floribunda
https://bs.plantnet.org/image/o/8ea28e8a2711cc25e361f006f32fe0db46fe850c,Alsatian broomrape,Cactus geranium,Mountain hemlock,Iberian knapweed,orobanche-alsatica
https://bs.plantnet.org/image/o/13a9e35a2e9f50a49cb3b1a3a42a26630bd9bbf8,Fragrant waitzia,Mrs wilson's barberry,Chinese giant-hyssop,Field locoweed,waitzia-suaveolens
https://bs.plantnet.org/image/o/14bc9db7be802fe5a3fa3f044750c7bc5038add1,Giant rhubarb,Sierra baby blue eyes,Little-club-moss,Pink azalea,gunnera-manicata
https://bs.plantnet.org/image/o/60e91a17ec9ad438f1d9b577c1cecf9ad74f8641,Nasturtium,Beale's barberry,Glademallow,Slender pride of rochester,tropaeolum-majus
https://bs.plantnet.org/image/o/bc5e97bb6dc8ec89c7e2d9f0aed92983b84670ea,Oregon woollyheads,Yellow colicroot,Malaysian persimmon,Bigleaf magnolia,psilocarphus-oregonus
https://bs.plantnet.org/image/o/8319b5eccfae3df3554d0424a42dc3f62483e2d5,Wild almond,Slimleaf heliotrope,Wright's cliffbrake,Creeping sibbaldia,brabejum-stellatifolium
https://bs.plantnet.org/image/o/e05d33af4da24d01a930e5d7080577dbfa882275,Hairy evening primrose,Machete,German-asphodel,Tuart,oenothera-villosa
https://bs.plantnet.org/image/o/0ecd73ec3f19e2620af64296eba975e33b35b88a,Spearleaf swampmallow,Bur chervil,European heliotrope,Evergreen plantain,pavonia-hastata
https://bs.plantnet.org/image/o/95e9c5eb2325e116b688e639a03784c8109679e0,Sticky sage,Slender brake,Longspur seablush,Florida fishpoison tree,salvia-glutinosa
https://bs.plantnet.org/image/o/893a4c8c0e3cd265c85b083536b6d8c128ad3186,African desert banana,Gray field speedwell,Exotica begonia,Sensitive fern,strelitzia-juncea
https://bs.plantnet.org/image/o/6d1d8dad2167cb23c33d0b497ef2da0b09485dd4,Canby's biscuitroot,Coral aloe,Northern hollyfern,Lesser clearweed,lomatium-canbyi
https://bs.plantnet.org/image/o/375f8fb248703d0a9aa0ee30e9e4d9230b106ee7,Mountain meadow-rue,Pale yellow-eyed-grass,Streambank mock orange,Spottedheart,thalictrum-clavatum
https://bs.plantnet.org/image/o/0457e52a60ae8a99c399730f8d3719b937c37f13,Mung bean,Boreal bog sedge,Grassland sedge,African wormwood,vigna-radiata
https://bs.plantnet.org/image/o/974822f264d6c576e277a45f4f469b9c8e2b3179,Banded airplant,Catalonian jasmine,English cinquefoil,Lacespine nipple trefle,racinaea-flexuosa
https://bs.floristic.org/image/o/01e27fe39ede98593698885a2350b8c707370b44,Purple sand verbena,Pinewoods lousewort,Green field speedwell,Pale laelia,abronia-angustifolia
https://bs.plantnet.org/image/o/c7d9e33c28db6ddd57d94641184b555679b76015,American scurfpea,Tinsel flower,Blessed milkthistle,Autumn bluegrass,cullen-americanum
https://bs.plantnet.org/image/o/8933ff04cc0421154ca92a49973055b9bd7b8f48,Bejuco de puerco,Various-leaved water-starwort,Oriental poppy,Burke's baeria,ipomoea-setifera
https://bs.plantnet.org/image/o/980a6c78c5e54f704ed9325c881f1efef7a4f266,Buckwheat,Marsh cranesbill,Tombea-steinbrech,Serrate spurge,fagopyrum-esculentum
https://bs.plantnet.org/image/o/55e37ee7aa7b40b86631f4f9e8e36ff56c68f493,Grassleaf barbara's buttons,Early bluegrass,Green spleenwort,Glade lobelia,marshallia-graminifolia
https://bs.plantnet.org/image/o/2563d0af4b40267f72e0b82ca119671e89b43f10,Kotschy's ophrys,Toadshade,Purple avens,Swamp azalea,ophrys-kotschyi
https://bs.plantnet.org/image/o/0231c65ef55fb5f6e5aaaf767a03a3c9aab0cb8b,Ice-cream bean,Rock goldenrod,Largeflower baby blue eyes,Summer ragwort,inga-pilosula
https://bs.plantnet.org/image/o/2a0b0b363b984dc0817b01d5237b3b16ab93654d,Saffron-flowered lupine,Deer-foot fern,Candyleaf,Horned rampion,lupinus-croceus
https://bs.plantnet.org/image/o/861a9ed89a900d1f15935e07e79af78f17ec4d6c,Paperbark albizia,Largebracted plantain,Fern-leaf lavender,Sargent spruce,albizia-tanganyicensis
https://bs.plantnet.org/image/o/21886dc1ad13d908e73677fe567df36604907258,Littleleaf false tamarind,Rosy owl's-clover,Koa,Matted sea-lavender,lysiloma-watsonii
https://bs.plantnet.org/image/o/679783441289369c09a5540ba15d3370ef5e855c,Anderson's spiderwort,The painted maple,Fairy aprons,Field sowthistle,tradescantia-x-andersoniana
https://bs.plantnet.org/image/o/c09f61c7550d538a196789f4c2b9ffdc7b910e59,Japanese climbing hydrangea,Chicory,Schweinfurth's tea-tree,Cresta de gallo blanco,hydrangea-petiolaris
https://bs.plantnet.org/image/o/a94cad80f2eb1dbd2b6a4c53e7b5af9bf7f40df6,Hybrid alfalfa,Seven sisters,Baldwin's ironweed,Arabian schismus,medicago-hybr
https://bs.plantnet.org/image/o/f55dc26d5af0282303787951f8213b0cc6fc42d7,May-lily,Lassen parsley,Southern honeysuckle,Blue orchid,maianthemum-bifolium
https://bs.plantnet.org/image/o/3cc5a23d1c5788fcf9f98c23421a06ace1c7cf7e,Bejuco de puerco,Hairy ironwort,Hard-aspen,Giant caladium,ipomoea-tiliacea
https://bs.plantnet.org/image/o/9a88feaea0d75fa3f4c090b64a025e6830f256ec,Bitterwood,Tartary buckwheat,Kanawao,Broadleaf tonguefern,simarouba-amara
https://bs.plantnet.org/image/o/27ae0fd6acd59b9345c3ba4f996d6f77223d4bfa,Sprenger's magnolia,Purple woodsorrel,Pale madwort,Cucumber tree,magnolia-sprengeri
https://bs.plantnet.org/image/o/5cb2d52c188a6ee9e44d937442a9bed18aaa6836,Small blacktip ragwort,Shore westringia,Cheerful sunflower,Cleveland's milkvetch,senecio-lugens
https://bs.plantnet.org/image/o/2686cfc4012cc7157079580b8bc313b827d11d3b,Wydler's dancing-lady orchid,Christmasbush,Cucumberleaf sunflower,Hybrid strawberry-tree,oncidium-baueri
https://bs.plantnet.org/image/o/d79607d875a1d88df90946ccb44ed87f5f16b727,Dendrobium stem,White bear-poppy,Chickenspike,Nettle-leaf mullein,dendrobium-nobile
https://bs.plantnet.org/image/o/1f2adb9bbf4266e0c7527dfef2f216ab17cad4eb,San gabriel mountains liveforever,Buckley's yucca,Western snowberry,Low's paphiopedilum,dudleya-densiflora
https://bs.plantnet.org/image/o/0ec12887fa56ab00ae0705f44a448e2c8942037e,Orange coneflower,Hairy woodrose,Powdery alligator-flag,Mountain camellia,rudbeckia-fulgida
https://bs.plantnet.org/image/o/a76dde777063aba5a6f31baafdde07646f350bac,Breitblttriges wollgras,Whitegrass,Holythorn,Lesser roundleaved orchid,eriophorum-latifolium
https://bs.plantnet.org/image/o/e49576af70bf366d65feaa8e05e4fb290e30dc51,Jand,Sea randa,Niguita,Chinese celandine-poppy,prosopis-cineraria
https://bs.plantnet.org/image/o/5a8ca6c47860402829fddeae351e22485fadc7bb,Ring muhly,Pheasant's-eye,African bonebract,Reflexed stonecrop,muhlenbergia-torreyi
https://bs.plantnet.org/image/o/a02a1add6d2ff760ea723c6a0289755e63411224,Dwarf umbrella tree,Texas feathershank,Feather cactus,Cankerweed,schefflera-arboricola
