url,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,slug
https://bs.plantnet.org/image/o/e9f4614aeb215aa8ab0cfc35a2647a475e63d5cd,Beach strawberry,Carolina laurelcherry,Sandcherry,Japanese photinia,fragaria-chiloensis
https://bs.plantnet.org/image/o/d661025689157e4a22765cc680a5b280b2e9f015,Mountain misery,Rockspray cotoneaster,Alpine cinquefoil,Himalayan blackberry,chamaebatia-foliolosa
https://bs.plantnet.org/image/o/53c778a2a2930e351f4ac3c8cbb95fedfb2c03e0,Stansbury cliffrose,Chinese crab apple,Common pear,Apple rose,purshia-stansburiana
https://bs.plantnet.org/image/o/174ee8203251760a8925b1e5f5ade6c6675f0eec,Manchurian apricot,Smallflower sweetbrier,Northern dewberry,White cinquefoil,prunus-mandshurica
https://bs.floristic.org/image/o/226eb7c0870e42e17d5eee38d689e11cd16e30d7,biddy-biddy,Sherard's downy rose,Hollyleaf cherry,Slender cinquefoil,acaena-novae-zelandiae
https://bs.plantnet.org/image/o/f3fbd6d4b41cdc916d80578ba0ebd4b528b7416e,Greene's mountain ash,Hairy lady's mantle,Prairie crab apple,Green strawberry,sorbus-scopulina
https://bs.plantnet.org/image/o/e5e95168d82a3c22d08798dfd2634d41665954e7,Scented agrimony,Thimbleberry,Cotoneaster,Rock cherry,agrimonia-procera
https://bs.plantnet.org/image/o/1db9fa28f9f2887d169e5801a25ed0d6f727ec59,Cherry laurel,Strawberryleaf raspberry,Multiflora rose,Taiwanese photinia,prunus-laurocerasus
https://bs.plantnet.org/image/o/caf8474476e122008c0dea2d8575d331af2fd1af,Abbotswood potentilla,Yellow himalayan raspberry,European crab apple,Scarlet firethorn,potentilla-neglecta
https://bs.plantnet.org/image/o/7be9b1ec1ac7a55c37b00888c3393396a8373337,Dwarf raspberry,Slender parsley-piert,Alpine rose,Elmleaf blackberry,rubus-chloocladus
https://bs.plantnet.org/image/o/1db9fa28f9f2887d169e5801a25ed0d6f727ec59,Cherry laurel,Indian plum,Purpleflowering raspberry,Sulphur cinquefoil,prunus-laurocerasus
https://bs.plantnet.org/image/o/74cb29b0fa2b984a27d4acb659025560adf3625c,Hall crab apple,European crab apple,Oceanspray,Chinese-quince,malus-halliana
https://bs.plantnet.org/image/o/376a1744fe8b6b92da0cb05545bc4ee81ef43aca,Indian strawberry,Bastard agrimony,Silver cinquefoil,Amur chokecherry,potentilla-indica
https://bs.plantnet.org/image/o/833e8e5b8973c13a7cb575b7ce35dfdef07614a9,Musk rose,Alpine cinquefoil,White meadowsweet,Hollyleaf cherry,rosa-moschata
https://bs.plantnet.org/image/o/e6fa93c968ab646b067d96b05b4cbe0b8cfdd59e,Siberian-tea,Giant false spiraea,Spring cinquefoil,Swamp rose,drymocallis-rupestris
https://bs.plantnet.org/image/o/4d4bb3dc39fb061b9942710478a0b1c0ea4991ac,Canadian burnet,Manchurian apricot,Yellow avens,Common ninebark,sanguisorba-canadensis
https://bs.plantnet.org/image/o/1184b1e1e8ab8e2ecdd36f50c56c85f92f2a5546,Giant bramble,Wine raspberry,Thorny burnet,Alpine avens,rubus-alceifolius
https://bs.plantnet.org/image/o/c5307dae87e6e808fa90da1ff71b57ff7ea4e828,Snow pear,Laceshrub,Dropwort,California mountain ash,pyrus-nivalis
https://bs.plantnet.org/image/o/86ba4d68acd711f2586bdc9bb370603304bd7fc6,Plymouth pear,Hawai'i hawthorn,Asian meadowsweet,Smooth rose,pyrus-cordata
https://bs.plantnet.org/image/o/82a701229b8d6623afafd10b1b2bf294ebd5196c,Salmonberry,Spineless acaena,Ashy cinquefoil,Pink barren strawberry,rubus-mercieri
https://bs.plantnet.org/image/o/4f9b46a556621fe9ea4829ca8f9978e82bb169ff,Silverleaf cotoneaster,European crab apple,Pyrenean avens,White cinquefoil,cotoneaster-pannosus
https://bs.plantnet.org/image/o/a852a808062dd550c2339f48ee027088901231fc,Formosa firethorn,Taiwan loquat,Taiwanese photinia,Alpine avens,pyracantha-koidzumii
https://bs.plantnet.org/image/o/f69d0661115e868f46dcea0c6d930b66aff66078,Asian meadowsweet,Servicetree,Redshank,American mountain ash,spiraea-trilobata
https://bs.plantnet.org/image/o/4d4bb3dc39fb061b9942710478a0b1c0ea4991ac,Canadian burnet,Siberian crab apple,Checkertree,Purple chokeberry,sanguisorba-canadensis
https://bs.plantnet.org/image/o/af2cee1ad4e45410ee30e0120a903e27fbe25db3,Smooth lady's mantle,Nanking cherry,Largeleaf blackberry,Musk rose,alchemilla-glabra
https://bs.plantnet.org/image/o/aafa7b65a4af42c066bdb83aed13614ec5dc24a7,Mount omei rose,Wichura's rose,Alpine rose,Mahaleb cherry,rosa-sericea
https://bs.plantnet.org/image/o/db53c8ad0ad8a9fcb9ca66de0476bfa346675018,Narrowleaf firethorn,Arctic raspberry,Chess-apple,Siberian-tea,pyracantha-angustifolia
https://bs.plantnet.org/image/o/74594eaaffac8e51fd39898c60c864932f7ad112,Late cotoneaster,Double cinnamon rose,Macartney rose,Cutleaf cinquefoil,cotoneaster-coriaceus
https://bs.plantnet.org/image/o/2231e90fbfc896ecdfeed0d022a9b3f5a61ad666,Apple rose,Woolly blackberry,Elegant cinquefoil,Elmleaf blackberry,rosa-x-involuta
https://bs.plantnet.org/image/o/674e7324a8568d240fc18b9621975cf10e312cc6,Silver cinquefoil,Ashy cinquefoil,Swamp rose,Virginia rose,potentilla-argentea
